"Description here...","Description here..."
"Gravity Reco","Gravity Reco"
"Settings","Settings"
"Enable Extension","Enable Extension"
"Yes","Yes"
"No","No"
"Enable extension.","Enable extension."
"Enable Preview Mode","Enable Preview Mode"
"Enabled Preview mode. In this case recommendation boxes are only visible if there is a special ?gr_reco_test=true parameter in the url. E.g.: http://example.com/example-product.html?gr_reco_test=true","Enabled Preview mode. In this case recommendation boxes are only visible if there is a special ?gr_reco_test=true parameter in the url. E.g.: http://example.com/example-product.html?gr_reco_test=true"
"API Username","API Username"
"API user name in Gravity system.","API user name in Gravity system."
"API Password","API Password"
"API password in Gravity system.","API password in Gravity system."
"API URL","API URL"
"API communication URL.","API communication URL."
"Test Connection","Test Connection"
"Press button to test connection.","Press button to test connection."
"Use Garvity Template","Use Garvity Template"
"General display setting. If YES all boxes will use Gravity template.","General display setting. If YES all boxes will use Gravity template."
"Export Products","Export Products"
"Catalog Export File Path","Catalog Export File Path"
"Path where catalog export file will be saved. Example: ""gravity_reco/"" (path must be writeable)","Path where catalog export file will be saved. Example: ""gravity_reco/"" (path must be writeable)"
"Enable All Products Export","Enable All Products Export"
"Enable all products to export. Otherwise please select NO and set the maximum number. Note: there can be performance impact during this operation.","Enable all products to export. Otherwise please select NO and set the maximum number. Note: there can be performance impact during this operation."
"Maximum Products Export","Maximum Products Export"
"The maximum number of products to be exported. This number must be between 1 and 1000.","The maximum number of products to be exported. This number must be between 1 and 1000."
"Additional Attributes","Additional Attributes"
"Select additional attributes for catalog export.","Select additional attributes for catalog export."
"Only Salable","Only Salable"
"In this case only those products will be exported which quantity higher than zero(is in stock). If your store doesn't use stock management choose YES.","In this case only those products will be exported which quantity higher than zero(is in stock). If your store doesn't use stock management choose YES."
"Enable Scheduled Export","Enable Scheduled Export"
"Enable scheduled export job bby cron. Note: you must configure your server to run cron jobs.","Enable scheduled export job bby cron. Note: you must configure your server to run cron jobs."
"Start Time","Start Time"
"Daily start time for automatic catalog export via cron job.","Daily start time for automatic catalog export via cron job."
"Export Product Catalog","Export Product Catalog"
"Export Products","Export Products"
"This will export product catalog and save in xml file. Note: there can be performance impact during this operation.","This will export product catalog and save in xml file. Note: there can be performance impact during this operation."
"Enable All Customers Export","Enable All Customers Export"
"Enable all customer to export. Otherwise please select NO and set the maximum number. Note: there can be performance impact during this operation.","Enable all customer to export. Otherwise please select NO and set the maximum number. Note: there can be performance impact during this operation."
"Select additional attributes for customer export.","Select additional attributes for customer export."
"Export Customers","Export Customers"
"This will export customers. Note: there can be performance impact during this operation.","This will export customers. Note: there can be performance impact during this operation."
"General Pages Display","General Pages Display"
"Enabled Pages","Enabled Pages"
"Pages on general layout recommendation boxes enabled.","Pages on general layout recommendation boxes enabled."
"Personal Best Box","Personal Best Box"
"Enable Personal Best Box","Enable Personal Best Box"
"Enable ""Recommended for you"" box on general page views.","Enable ""Recommended for you"" box on general page views."
"Personal Best Box Layout","Personal Best Box Layout"
"Select where ""Recommended for you"" box should be shown on general page views.","Select where ""Recommended for you"" box should be shown on general page views."
"Personal Best Box Title","Personal Best Box Title"
"""Recommended for you"" box title on general page views.","""Recommended for you"" box title on general page views."
"Personal Best Box Product Count","Personal Best Box Product Count"
"Number of items show in ""Recommended for you"" box on general page views. This number must be between 1 and 10.","Number of items show in ""Recommended for you"" box on general page views. This number must be between 1 and 10."
"History Box","History Box"
"Enable History Box","Enable History Box"
"Enable ""You viewed"" box on general page views.","Enable ""You viewed"" box on general page views."
"History Box Layout","History Box Layout"
"Select where ""You viewed"" box should be shown on general page views.","Select where ""You viewed"" box should be shown on general page views."
"History Box Title","History Box Title"
"""You viewed"" box title on general page views.","""You viewed"" box title on general page views."
"History Box Product Count","History Box Product Count"
"Number of items show in ""You viewed"" box on general page views. This number must be between 1 and 10.","Number of items show in ""You viewed"" box on general page views. This number must be between 1 and 10."
"Currently Viewed Box","Currently Viewed Box"
"Enable Currently Viewed Box","Enable Currently Viewed Box"
"Enable ""Others are looking at right now"" box on general page views.","Enable ""Others are looking at right now"" box on general page views."
"Currently Viewed Box Layout","Currently Viewed Box Layout"
"Select where ""Others are looking at right now"" box should be shown on general page views.","Select where ""Others are looking at right now"" box should be shown on general page views."
"Currently Viewed Box Title","Currently Viewed Box Title"
"""Others are looking at right now"" box title on general page views.","""Others are looking at right now"" box title on general page views."
"Currently Viewed Box Product Count","Currently Viewed Box Product Count"
"Number of items show in ""Others are looking at right now"" box on general page views. This number must be between 1 and 10.","Number of items show in ""Others are looking at right now"" box on general page views. This number must be between 1 and 10."
"Popular Box","Popular Box"
"Enable Popular Box","Enable Popular Box"
"Enable ""Top Products"" box on general page views.","Enable ""Top Products"" box on general page views."
"Popular Box Layout","Popular Box Layout"
"Select where ""Top Products"" box should be shown on general page views.","Select where ""Top Products"" box should be shown on general page views."
"Popular Box Title","Popular Box Title"
"""Top Products"" box title on general page views.","""Top Products"" box title on general page views."
"Popular Box Product Count","Popular Box Product Count"
"Number of items show in ""Top Products"" box on general page views. This number must be between 1 and 10.","Number of items show in ""Top Products"" box on general page views. This number must be between 1 and 10."
"Product Page Display","Product Page Display"
"Similar Box","Similar Box"
"Enable Similar Box","Enable Similar Box"
"Enable ""You might also like"" box on product page views.","Enable ""You might also like"" box on product page views."
"Similar Box Layout","Similar Box Layout"
"Select where ""You might also like"" box should be shown on product page views.","Select where ""You might also like"" box should be shown on product page views."
"Similar Box Title","Similar Box Title"
"""You might also like"" box title on product page views.","""You might also like"" box title on product page views."
"Similar Box Product Count","Similar Box Product Count"
"Number of items show in ""You might also like"" box on product page views. This number must be between 1 and 10.","Number of items show in ""You might also like"" box on product page views. This number must be between 1 and 10."
"Personal Box","Personal Box"
"Enable Personal Box","Enable Personal Box"
"Enable ""Recommended for you"" box on product page views.","Enable ""Recommended for you"" box on product page views."
"Personal Box Layout","Personal Box Layout"
"Select where ""Recommended for you"" box should be shown on product page views.","Select where ""Recommended for you"" box should be shown on product page views."
"Personal Box Title","Personal Box Title"
"""Recommended for you"" box title on product page views.","""Recommended for you"" box title on product page views."
"Personal Box Product Count","Personal Box Product Count"
"Number of items show in ""Recommended for you"" box on product page views. This number must be between 1 and 10.","Number of items show in ""Recommended for you"" box on product page views. This number must be between 1 and 10."
"Accessories Box","Accessories Box"
